Fecha,Hora (UTC),RRR6 (mm),Traza ()
01/06/2023,00:00,0,FALSO
01/06/2023,06:00,0,FALSO
01/06/2023,12:00,0,FALSO
01/06/2023,18:00,0,FALSO
02/06/2023,00:00,6,FALSO
02/06/2023,06:00,47.5,FALSO
02/06/2023,12:00,17.7,FALSO
02/06/2023,18:00,2.2,FALSO
03/06/2023,00:00,0.5,FALSO
03/06/2023,06:00,2.5,FALSO
03/06/2023,12:00,0.2,FALSO
03/06/2023,18:00,14.6,FALSO
04/06/2023,00:00,22.4,FALSO
04/06/2023,06:00,2.6,FALSO
04/06/2023,12:00,0.5,FALSO
04/06/2023,18:00,0.4,FALSO
05/06/2023,00:00,0,FALSO
05/06/2023,06:00,0,FALSO
05/06/2023,12:00,0,FALSO
05/06/2023,18:00,0,FALSO
06/06/2023,00:00,0,FALSO
06/06/2023,06:00,0,FALSO
06/06/2023,12:00,0,FALSO
06/06/2023,18:00,6.1,FALSO
07/06/2023,00:00,0.7,FALSO
07/06/2023,06:00,0.1,FALSO
07/06/2023,12:00,0,FALSO
07/06/2023,18:00,0,FALSO
08/06/2023,00:00,0,FALSO
08/06/2023,06:00,0,FALSO
08/06/2023,12:00,0.7,FALSO
08/06/2023,18:00,24.4,FALSO
09/06/2023,00:00,46.6,FALSO
09/06/2023,06:00,18.4,FALSO
09/06/2023,12:00,0,FALSO
09/06/2023,18:00,2,FALSO
10/06/2023,00:00,0,FALSO
10/06/2023,06:00,0,FALSO
10/06/2023,12:00,0,FALSO
10/06/2023,18:00,2.2,FALSO
11/06/2023,00:00,0,FALSO
11/06/2023,06:00,0,FALSO
11/06/2023,12:00,0,FALSO
11/06/2023,18:00,0.1,FALSO
12/06/2023,00:00,0,FALSO
12/06/2023,06:00,0,FALSO
12/06/2023,12:00,0,FALSO
12/06/2023,18:00,0,FALSO
13/06/2023,00:00,0,FALSO
13/06/2023,06:00,0,FALSO
13/06/2023,12:00,0,FALSO
13/06/2023,18:00,0,FALSO
14/06/2023,00:00,0,FALSO
14/06/2023,06:00,0,FALSO
14/06/2023,12:00,0,FALSO
14/06/2023,18:00,0,FALSO
15/06/2023,00:00,0,FALSO
15/06/2023,06:00,0,FALSO
15/06/2023,12:00,0,FALSO
15/06/2023,18:00,0,FALSO
16/06/2023,00:00,0,FALSO
16/06/2023,06:00,0,FALSO
16/06/2023,12:00,0,FALSO
16/06/2023,18:00,0,FALSO
17/06/2023,00:00,0,FALSO
17/06/2023,06:00,0,FALSO
17/06/2023,12:00,0,FALSO
17/06/2023,18:00,0,FALSO
18/06/2023,00:00,0,FALSO
18/06/2023,06:00,0,FALSO
18/06/2023,12:00,0,FALSO
18/06/2023,18:00,0,FALSO
19/06/2023,00:00,0,FALSO
19/06/2023,06:00,0,FALSO
19/06/2023,12:00,0,FALSO
19/06/2023,18:00,0,FALSO
20/06/2023,00:00,0,FALSO
20/06/2023,06:00,0,FALSO
20/06/2023,12:00,0,FALSO
20/06/2023,18:00,0,FALSO
21/06/2023,00:00,0,FALSO
21/06/2023,06:00,0,FALSO
21/06/2023,12:00,0,FALSO
21/06/2023,18:00,0,FALSO
22/06/2023,00:00,3.3,FALSO
22/06/2023,06:00,1.8,FALSO
22/06/2023,12:00,18.2,FALSO
22/06/2023,18:00,26.4,FALSO
23/06/2023,00:00,29.2,FALSO
23/06/2023,06:00,19.2,FALSO
23/06/2023,12:00,42.5,FALSO
23/06/2023,18:00,47.8,FALSO
24/06/2023,00:00,51.7,FALSO
24/06/2023,06:00,64.5,FALSO
24/06/2023,12:00,53.4,FALSO
24/06/2023,18:00,42.3,FALSO
25/06/2023,00:00,36,FALSO
25/06/2023,06:00,46.2,FALSO
25/06/2023,12:00,29.5,FALSO
25/06/2023,18:00,46.4,FALSO
26/06/2023,00:00,24.8,FALSO
26/06/2023,06:00,3.2,FALSO
26/06/2023,12:00,0.4,FALSO
26/06/2023,18:00,2.3,FALSO
27/06/2023,00:00,2.8,FALSO
27/06/2023,06:00,0,FALSO
27/06/2023,12:00,0,FALSO
27/06/2023,18:00,0,FALSO
28/06/2023,00:00,0,FALSO
28/06/2023,06:00,0,FALSO
28/06/2023,12:00,0.4,FALSO
28/06/2023,18:00,9.2,FALSO
29/06/2023,00:00,0,FALSO
29/06/2023,06:00,0,FALSO
29/06/2023,12:00,0,FALSO
29/06/2023,18:00,0,FALSO
30/06/2023,00:00,0,FALSO
30/06/2023,06:00,0,FALSO
30/06/2023,12:00,0,FALSO
30/06/2023,18:00,0,FALSO
