Fecha,Hora (UTC),HR
01/07/2022,00:00,75.9
01/07/2022,01:00,86.1
01/07/2022,02:00,78.3
01/07/2022,03:00,79
01/07/2022,04:00,74
01/07/2022,05:00,75.9
01/07/2022,06:00,79
01/07/2022,07:00,78.9
01/07/2022,08:00,81.9
01/07/2022,09:00,83
01/07/2022,10:00,64
01/07/2022,11:00,56
01/07/2022,12:00,89
01/07/2022,13:00,93
01/07/2022,14:00,94
01/07/2022,15:00,96
01/07/2022,16:00,93
01/07/2022,17:00,89
01/07/2022,18:00,91
01/07/2022,19:00,83
01/07/2022,20:00,79
01/07/2022,21:00,66
01/07/2022,22:00,76
01/07/2022,23:00,82
02/07/2022,00:00,86
02/07/2022,01:00,90.2
02/07/2022,02:00,94.5
02/07/2022,03:00,96
02/07/2022,04:00,96.3
02/07/2022,05:00,96.9
02/07/2022,06:00,97
02/07/2022,07:00,97.4
02/07/2022,08:00,97.7
02/07/2022,09:00,98
02/07/2022,10:00,98
02/07/2022,11:00,98
02/07/2022,12:00,98
02/07/2022,13:00,98
02/07/2022,14:00,98
02/07/2022,15:00,77
02/07/2022,16:00,68
02/07/2022,17:00,59
02/07/2022,18:00,48
02/07/2022,19:00,47
02/07/2022,20:00,49
02/07/2022,21:00,56
02/07/2022,22:00,65
02/07/2022,23:00,74
03/07/2022,00:00,87
03/07/2022,01:00,93.7
03/07/2022,02:00,94.8
03/07/2022,03:00,95
03/07/2022,04:00,96.2
03/07/2022,05:00,96.9
03/07/2022,06:00,97
03/07/2022,07:00,97.3
03/07/2022,08:00,97.4
03/07/2022,09:00,97
03/07/2022,10:00,98
03/07/2022,11:00,98
03/07/2022,12:00,97
03/07/2022,13:00,98
03/07/2022,14:00,97
03/07/2022,15:00,97
03/07/2022,16:00,90
03/07/2022,17:00,86
03/07/2022,18:00,79
03/07/2022,19:00,79
03/07/2022,20:00,80
03/07/2022,21:00,80
03/07/2022,22:00,85
03/07/2022,23:00,89
04/07/2022,00:00,92
04/07/2022,01:00,93.5
